LocationID,zscore
58,38204.13265362446 / ((sqrt(-162843229.2 - 578250743184)) * sqrt(0.10741440590667917 / 14))
59,-20886.124272349844 / ((sqrt(813369016.3333334 - 364643276449)) * sqrt(0.01296888897565894 / 5))
60,-79519.0683066519 / ((sqrt(94651053.3 - 729211986508.8099)) * sqrt(0.22550308647955952 / 19))
61,-10823.956533778226 / ((sqrt(93858756.75 - 450957961122.7155)) * sqrt(0.18144682462755535 / 27))
62,0 / ((sqrt(1621631232 - 2531357368576)) * sqrt(0 / 0))
63,-19739.696174391545 / ((sqrt(133551948.3125 - 429133573118.2656)) * sqrt(0.3852734953108419 / 31))
64,-3665.2521875435486 / ((sqrt(42464131.823529415 - 633859224748.8202)) * sqrt(0.07775927413643346 / 16))
65,-53711.537160196574 / ((sqrt(169018824.33333334 - 450435253081.07104)) * sqrt(0.4639021880969092 / 29))
66,9880.774728931661 / ((sqrt(-372567076.14285713 - 126922612644)) * sqrt(0.06113346043185175 / 13))
67,39342.81081849057 / ((sqrt(36747274.615384616 - 588088063161)) * sqrt(0.2985065725060325 / 25))
68,7646.807874676539 / ((sqrt(93156497.85714285 - 496739012579.5918)) * sqrt(0.040887884003387276 / 13))
69,-1688.1614543039468 / ((sqrt(90598610.3 - 342673842072.25)) * sqrt(0.02053874509369108 / 9))
70,-7300.593646101392 / ((sqrt(761129065.5714285 - 308776928329)) * sqrt(0.01226427317492576 / 6))
71,-47173.4115178748 / ((sqrt(3108258.8947368423 - 770207349180.9668)) * sqrt(0.19197517877714665 / 18))
72,33030.13394511439 / ((sqrt(-376734674.09090906 - 318964023361)) * sqrt(0.09293322075122268 / 10))
73,-5402.755905537051 / ((sqrt(-155598634 - 464816696108.4444)) * sqrt(0.010100247287460784 / 8))
74,-25303.62768381022 / ((sqrt(-1043964803.2 - 430569042741.75995)) * sqrt(0.003981746086412968 / 4))
75,9566.76560570707 / ((sqrt(-41465179.384615384 - 570951819506.367)) * sqrt(0.06519426865268652 / 12))
76,-16068.489632009761 / ((sqrt(173344144.25 - 314414488165.5625)) * sqrt(0.10511210750784172 / 15))
77,0 / ((sqrt(1 - 1)) * sqrt(0 / 0))
78,7844.312246488873 / ((sqrt(-217301538.6 - 511635873855.4712)) * sqrt(0.08480370130460013 / 14))
79,35048.838189107366 / ((sqrt(-10685589.777777778 - 477187753927.16046)) * sqrt(0.25545280111378776 / 26))
80,-105264.35567870637 / ((sqrt(-189245724.9375 - 504763802130.97266)) * sqrt(0.10687792892806536 / 15))
81,-14305.31728751614 / ((sqrt(147196678.5 - 224817748350.25)) * sqrt(0.1404277931305848 / 13))
82,15934.310399660026 / ((sqrt(14803625.294117646 - 806511129675.4186)) * sqrt(0.14825703689897374 / 16))
83,10158.500443448545 / ((sqrt(-169563622.5 - 409295032786.88995)) * sqrt(0.055844974966373945 / 9))
84,-12502.016798676224 / ((sqrt(496557855.4166667 - 744446991980.0068)) * sqrt(0.33063966885435025 / 23))
85,53603.16150025115 / ((sqrt(150284866.74074075 - 658461200583.1605)) * sqrt(0.36448761984666644 / 26))
86,65373.66039174865 / ((sqrt(337445412.56 - 854593307185.4657)) * sqrt(0.3203480564090415 / 24))
87,24038.60631912625 / ((sqrt(1032518362.5 - 426974032056.25)) * sqrt(0.0013545282070172408 / 1))
88,38648.49038402329 / ((sqrt(533398016.46153843 - 1004244494400)) * sqrt(0.10335603847585184 / 12))
89,87896.11061020242 / ((sqrt(187478838.20833334 - 596469107674.5156)) * sqrt(0.19367230281465808 / 23))
90,0 / ((sqrt(3600 - 3600)) * sqrt(0 / 0))
91,16543.49596113764 / ((sqrt(-103957505.2 - 376565831580.16)) * sqrt(0.036587332831525154 / 9))
92,-17328.235389368318 / ((sqrt(681139294.6363636 - 542044384724.0413)) * sqrt(0.03158385168137712 / 10))
93,-21055.258733687457 / ((sqrt(113157840.71428572 - 300836422065.3266)) * sqrt(0.2920177452625943 / 27))
94,13097.601348918979 / ((sqrt(99962625.64705883 - 479118526989.19037)) * sqrt(0.0854680594364654 / 16))
95,7966.923549221508 / ((sqrt(418564732.6 - 290243158060.83997)) * sqrt(0.00781254508882874 / 4))
96,61393.406291567255 / ((sqrt(173391228.62857142 - 489862169693.80896)) * sqrt(0.6943191752126312 / 34))
97,44959.913073425414 / ((sqrt(258915996.22727272 - 782028213438.3492)) * sqrt(0.1845097242560496 / 21))
98,15577.362236245535 / ((sqrt(-502205740.85714287 - 332005781486.0408)) * sqrt(0.10600669176659083 / 13))
99,106960.00083794794 / ((sqrt(177633343.58333334 - 532266832076.149)) * sqrt(0.5635810665034757 / 35))
100,-8996.704578956836 / ((sqrt(-590630335.6 - 121315955059.36002)) * sqrt(0.005583182597760736 / 4))
101,NaN / ((sqrt(NaN - NaN)) * sqrt(0 / -1))
102,-16175.2321373882 / ((sqrt(-163155545.69230768 - 274473628005.32544)) * sqrt(0.0690785344078001 / 12))
103,-94522.8076107133 / ((sqrt(70739922.06060606 - 473870445446.1745)) * sqrt(0.7574550135281184 / 32))
104,11803.830082794826 / ((sqrt(163233754.5 - 1782172935380.25)) * sqrt(0.002787575710897744 / 3))
105,0 / ((sqrt(486289697 - 1821552423201)) * sqrt(0 / 0))
106,-32815.68243741419 / ((sqrt(-191023234.75 - 977278553476)) * sqrt(0.03868921245410406 / 15))
107,-8893.324498132453 / ((sqrt(323762538.9230769 - 159346883250.74557)) * sqrt(0.048531454403155705 / 12))
108,6254.4824214775 / ((sqrt(190967176.5 - 1283209030540.0278)) * sqrt(0.017105236884269348 / 5))
109,-9659.591516399407 / ((sqrt(-207077849 - 453720986197.7347)) * sqrt(0.10295168239824781 / 13))
110,-13696.156106020644 / ((sqrt(91770721.33333333 - 910875542404)) * sqrt(0.004476990371964029 / 2))
111,0 / ((sqrt(1436266985 - 499652473321)) * sqrt(0 / 0))
112,241.77812745080882 / ((sqrt(-383337719 - 21973615225)) * sqrt(4.61973912811893E-05 / 1))
113,-64850.405161952076 / ((sqrt(353409550.46153843 - 502496458786.1775)) * sqrt(0.05881017801657695 / 12))
114,2167.586557908886 / ((sqrt(-638406949.5 - 2160201806406.25)) * sqrt(3.0396462056565127E-06 / 1))
115,60277.47674684768 / ((sqrt(-133144598.25 - 1449327656340.0625)) * sqrt(0.012293465459328148 / 3))
116,-55274.88402035739 / ((sqrt(-1077139 - 467032263605.8166)) * sqrt(0.11848141651144528 / 16))
117,-9156.381793993176 / ((sqrt(196419715.35714287 - 228191898846.12756)) * sqrt(0.10081181325279642 / 13))
118,-28256.176379272016 / ((sqrt(-262891585.83333334 - 427449718124.15125)) * sqrt(0.11500678757770333 / 17))
119,3577.653210770528 / ((sqrt(590573884.4 - 41301132238.24)) * sqrt(0.004826558975112777 / 4))
120,-25750.559588047967 / ((sqrt(-75907857.07692307 - 218205406298.22485)) * sqrt(0.07617492047718988 / 12))
121,-6663.524587285123 / ((sqrt(296959069.06666666 - 439467169098.2399)) * sqrt(0.09886251101540616 / 14))
122,-12000.622069554287 / ((sqrt(716151912.2222222 - 302839384026.86426)) * sqrt(0.026396818824248047 / 8))
